id,name,RA,DEC,type,const,mag,catalogue,cid
0,,0.00254,32.7384,Gxy,And,14.89,IC,5370
1,,0.0041,32.832,Gxy,And,15.89,IC,5371
2,,0.00555556,50.7389,Ast,Cas,,NGC,7801
3,,0.00666667,32.7833,Gxy,And,15,IC,5372
4,,0.008,32.7823,Gxy,And,15.23,IC,5373
5,,0.0168056,6.24194,Gxy,Psc,13.6,NGC,7802
6,,0.0179,4.50001,Gxy,Psc,15.53,IC,5374
7,,0.01799,4.54057,Gxy,Psc,15.31,IC,5375
8,,0.0218611,7.74778,**,Psc,,NGC,7804
9,,0.0222222,13.1108,Gxy,Peg,13.1,NGC,7803
10,,0.0240833,31.4328,Gxy,Peg,13.2,NGC,7805
11,,0.02216,34.5257,Gxy,And,14.76,IC,5376
12,,0.025,31.4411,Gxy,Peg,13.7,NGC,7806
13,,0.02541,11.3461,Gxy,Peg,15.09,IC,1526
14,,0.03483,16.5903,Gxy,Peg,15.53,IC,5377
15,,0.0359722,2.94056,Gxy,Psc,14.7,NGC,7809
16,,0.0386389,12.9708,Gxy,Peg,13.1,NGC,7810
17,,0.03935,4.08972,Gxy,Psc,15.42,IC,1527
18,,0.0406944,3.35194,Gxy,Psc,14.7,NGC,7811
19,,0.0433333,16.6167,,Peg,,IC,5378
20,,0.04463,16.6003,Gxy,Peg,16.18,IC,5379
21,,0.0471,-66.1866,Gxy,Tuc,15.47,IC,5380
22,,0.0483889,-34.2364,Gxy,Scl,13.3,NGC,7812
23,,0.06925000000000001,-11.9844,Gxy,Cet,14.2,NGC,7813
24,,0.05312,15.9655,Gxy,Peg,14.94,IC,5381
25,,0.0541111,16.1453,Gxy,Peg,11,NGC,7814
26,,0.0541111,16.1453,Gxy,Peg,11,C,43
27,,0.0570278,20.7047,*,Peg,,NGC,7815
28,,0.05728,-65.19670000000001,Gxy,Tuc,15.23,IC,5382
29,,0.0589167,-10.7447,Gxy,Cet,13.5,NGC,7808
30,,0.0359167,67.42,Neb,Cep,,NGC,7822
31,,0.0635833,7.4775,Gxy,Psc,13,NGC,7816
32,,0.0633333,16,,Peg,,IC,5383
33,,0.06622219999999999,20.7497,Gxy,Peg,12,NGC,7817
34,,0.0691389,7.37833,Gxy,Psc,14.2,NGC,7818
35,,0.07000000000000001,-11.9667,Gxy,Cet,15,IC,5384
36,,0.0734722,31.4719,Gxy,Peg,13.4,NGC,7819
37,,0.07525,5.19889,Gxy,Psc,13.1,NGC,7820
38,,0.0793889,-62.0617,Gxy,Tuc,12.8,NGC,7823
39,,0.08500000000000001,-3.11667,,Psc,,IC,1528
40,,0.0850278,6.92,Gxy,Psc,13.4,NGC,7824
41,,0.0851667,5.20222,Gxy,Psc,13.6,NGC,7825
42,,0.0873056,-20.715,Ast,Cet,,NGC,7826
43,,0.0866667,-11.5,,Cet,,IC,1529
44,,0.08794440000000001,-16.4775,Gxy,Cet,13.3,NGC,7821
45,,0.091,5.22222,Gxy,Psc,14,NGC,7827
46,,0.1005,8.342779999999999,*,Psc,,NGC,7830
47,,0.107528,-13.4161,Gxy,Cet,13.9,NGC,7828
48,,0.108028,-13.4208,Gxy,Cet,13.9,NGC,7829
49,,0.106667,-0.0666667,,Psc,,IC,5385
50,,0.10875,27.6417,Ast,Peg,,NGC,7833
51,,0.108333,-3.71667,,Psc,,IC,5386
52,,0.107889,-3.71583,Gxy,Psc,13.2,NGC,7832
53,,0.110528,8.36778,Gxy,Psc,14.5,NGC,7834
54,,0.113,8.425000000000001,Gxy,Psc,14.6,NGC,7835
55,,0.114278,8.35139,Gxy,Psc,15.8,NGC,7837
56,,0.114972,8.35111,Gxy,Psc,14.6,NGC,7838
57,,0.116833,27.6356,**,Peg,,NGC,7839
58,,0.119139,8.38194,Gxy,Psc,15.2,NGC,7840
59,,0.121083,27.7089,Gxy,Peg,12.7,NGC,1
60,,0.121444,27.6794,Gxy,Peg,14,NGC,2
61,,0.121306,8.30139,Gxy,Psc,13.5,NGC,3
62,,0.122083,32.6094,Gxy,And,13,NGC,7831
63,,0.121667,32.6167,Gxy,And,,IC,1530
64,,0.123444,8.372780000000001,Gxy,Psc,15.9,NGC,4
65,,0.130222,35.3622,Gxy,And,13.4,NGC,5
66,,0.133778,33.0708,Gxy,And,13.8,NGC,7836
67,,0.159111,33.3094,Gxy,And,13.1,NGC,6
68,,0.139111,-29.9153,Gxy,Scl,13.4,NGC,7
69,,0.14,27.7167,**,Peg,,IC,1
70,,0.142944,-33.8556,Gxy,Scl,12.5,NGC,10
71,,0.145111,37.4478,Gxy,And,13.9,NGC,11
72,,0.145778,4.61306,Gxy,Psc,13.5,NGC,12
73,,0.1459,23.8384,Gxy,Peg,16.96,NGC,8
74,,0.146667,33.4342,Gxy,And,13.4,NGC,13
75,,0.146194,15.8156,Gxy,Peg,12.5,NGC,14
76,,0.148528,23.8178,Gxy,Peg,13.8,NGC,9
77,,0.150667,21.6244,Gxy,Peg,14,NGC,15
78,,0.151278,27.7306,Gxy,Peg,11.8,NGC,16
79,,0.156389,27.7322,**,Peg,,NGC,18
80,,0.178028,32.9828,Gxy,And,13.3,NGC,19
81,,0.159111,33.3094,Gxy,And,13.1,NGC,20
82,,0.15987,-32.277,Gxy,Scl,13.49,IC,1531
83,,0.163361,27.8325,Gxy,Peg,13.8,NGC,22
84,,0.164833,25.9236,Gxy,Peg,11.9,NGC,23
85,,0.165639,-24.9636,Gxy,Scl,11.5,NGC,24
86,,0.166444,-57.0211,Gxy,Phe,13.1,NGC,25
87,,0.16464,-64.3716,Gxy,Tuc,14.77,IC,1532
88,,0.173694,-56.9892,Gxy,Phe,13.8,NGC,28
89,,0.173861,25.8308,Gxy,Peg,12.9,NGC,26
90,,0.175806,28.9972,Gxy,And,13.7,NGC,27
91,,0.177361,-56.9864,Gxy,Phe,14.1,NGC,31
92,,0.176667,-7.41667,,Cet,,IC,1533
93,,0.179694,33.3528,Gxy,And,12.9,NGC,21
94,,0.179694,33.3528,Gxy,And,12.9,NGC,29
95,,0.18075,21.9769,**,Peg,,NGC,30
96,,0.181528,18.7958,*,Peg,,NGC,32
97,,0.182389,3.67583,**,Psc,,NGC,33
98,,0.185167,-12.1072,Gxy,Cet,14.4,NGC,17
99,,0.18356,-12.8224,Gxy,Cet,15.46,IC,2
100,,0.185167,-12.1072,Gxy,Cet,14.4,NGC,34
101,,0.186167,-12.0208,Gxy,Cet,14.2,NGC,35
102,,0.189694,-56.9572,Gxy,Phe,13.8,NGC,37
103,,0.189528,6.38917,Gxy,Psc,13.4,NGC,36
104,,0.196389,-5.58694,Gxy,Psc,13.3,NGC,38
105,,0.20169,-0.41525,Gxy,Psc,14.86,IC,3
106,,0.20525,31.0611,Gxy,And,13.7,NGC,39
107,,0.213306,22.0236,Gxy,Peg,13.9,NGC,41
108,,0.215639,22.1006,Gxy,Peg,13.9,NGC,42
109,,0.216917,72.5222,PN,Cep,12.3,NGC,40
110,,0.216917,72.5222,PN,Cep,12.3,C,2
111,,0.216917,30.9158,Gxy,And,12.7,NGC,43
112,,0.220361,31.2864,**,And,,NGC,44
113,,0.22415,17.4864,Gxy,Peg,14.21,IC,4
114,,0.22929,48.1512,Gxy,And,15.1,IC,1534
115,,0.233889,48.235,Gxy,And,13.8,NGC,48
116,,0.2326,48.1579,Gxy,And,15.16,IC,1535
117,,0.234417,-23.1811,Gxy,Cet,10.8,NGC,45
118,,0.236083,5.98778,*,Psc,,NGC,46
119,,0.23861,48.1432,Gxy,And,15.47,IC,1536
120,,0.239528,48.2467,Gxy,And,13.8,NGC,49
121,,0.241917,-7.16806,Gxy,Cet,13.1,NGC,47
122,,0.241917,-7.16806,Gxy,Cet,13.1,NGC,58
123,,0.242972,48.2556,Gxy,And,13.2,NGC,51
124,,0.2445,18.58,Gxy,Peg,13.7,NGC,52
125,,0.245722,-7.34556,Gxy,Cet,12.3,NGC,50
126,,0.244944,-60.3286,Gxy,Tuc,13.1,NGC,53
127,,0.252333,-39.2206,Gxy,Scl,8.300000000000001,NGC,55
128,,0.252333,-39.2206,Gxy,Scl,8.300000000000001,C,72
129,,0.252111,-7.1075,Gxy,Cet,13.7,NGC,54
130,,0.255722,12.4444,NF,Psc,,NGC,56
131,,0.258528,17.3272,Gxy,Psc,12.2,NGC,57
132,,0.256972,-21.4439,Gxy,Cet,12.2,NGC,59
133,,0.266194,-0.303333,Gxy,Psc,14.3,NGC,60
134,,0.266667,-39.3167,,Phe,,IC,1537
135,,0.273472,-6.3225,Gxy,Psc,13.4,NGC,61
136,,0.284861,-13.4867,Gxy,Cet,13.5,NGC,62
137,,0.29304,-9.54345,Gxy,Cet,14.63,IC,5
138,,0.29175,-6.82556,Gxy,Cet,13.2,NGC,64
139,,0.295972,11.4494,Gxy,Psc,11.8,NGC,63
140,,0.3,30.0667,?,And,,IC,1538
141,,0.303472,30.0553,Gxy,And,14.8,NGC,67
142,,0.305139,30.0714,Gxy,And,13,NGC,68
143,,0.305694,30.0397,Gxy,And,14.4,NGC,69
144,,0.30625,30.0794,Gxy,And,13.7,NGC,70
145,,0.306528,30.0631,Gxy,And,13.5,NGC,71
146,,0.306667,30.1,,And,,IC,1539
147,,0.307861,30.0406,Gxy,And,14,NGC,72
148,,0.310944,-15.3219,Gxy,Cet,13.7,NGC,73
149,,0.313694,30.0614,Gxy,And,15.3,NGC,74
150,,0.31528,-3.27608,Gxy,Psc,14.57,IC,6
151,,0.316528,-22.8808,Gxy,Cet,14.5,NGC,65
152,,0.31478,10.5947,Gxy,Psc,14.73,IC,7
153,,0.31742,-3.22215,Gxy,Psc,15.16,IC,8
154,,0.317917,-22.9375,Gxy,Cet,13.6,NGC,66
155,,0.323806,6.44806,Gxy,Psc,13.3,NGC,75
156,,0.327139,29.9336,Gxy,And,13,NGC,76
157,,0.32889,-14.1219,Gxy,Cet,15.39,IC,9
158,,0.33021,23.7726,Gxy,And,14.93,IC,1540
159,,0.33375,-22.5325,Gxy,Cet,15.8,NGC,77
160,,0.33387,21.9997,Gxy,And,15.57,IC,1541
161,,0.33752,-2.65315,Gxy,Psc,15.08,IC,12
162,,0.340972,0.833611,Gxy,Psc,13.3,NGC,78
163,,0.33975,59.2931,Gxy,Cas,11.78,IC,10
164,,0.33892,7.70032,Gxy,Psc,14.88,IC,13
165,,0.341667,56.6,,Cas,,IC,11
166,,0.34478,22.5923,Gxy,And,15.39,IC,1542
167,,0.34874,21.8662,Gxy,And,14.48,IC,1543
168,,0.350806,22.5667,Gxy,And,14,NGC,79
169,,0.353028,22.3572,Gxy,And,12.5,NGC,80
170,,0.353694,22.3828,Gxy,And,15.7,NGC,81
171,,0.353944,-48.6283,Gxy,Phe,14.3,NGC,87
172,,0.356056,-48.6403,Gxy,Phe,14.3,NGC,88
173,,0.35675,-48.6658,Gxy,Phe,13.5,NGC,89
174,,0.35486,23.0909,Gxy,And,14.8,IC,1544
175,,0.355,21.9833,,And,,IC,1545
176,,0.354833,22.4614,*,And,14,NGC,82
177,,0.35625,22.4336,Gxy,And,13,NGC,83
178,,0.357111,22.5119,Gxy,And,14.8,NGC,85
179,,0.355917,22.6175,*,And,17,NGC,84
180,,0.357972,22.5564,Gxy,And,14.8,NGC,86
181,,0.358889,-48.6261,Gxy,Phe,13,NGC,92
182,,0.358333,22.5,,And,,IC,1546
183,,0.36,22.5167,?,And,,IC,1547
184,,0.364361,22.3683,*,And,15,NGC,91
185,,0.364278,22.4,Gxy,And,13.8,NGC,90
186,,0.36533,22.0064,Gxy,And,15.64,IC,1548
187,,0.367583,22.4081,Gxy,And,13.6,NGC,93
188,,0.370417,22.4831,Gxy,And,14.6,NGC,94
189,,0.370583,10.4911,Gxy,Psc,12.6,NGC,95
190,,0.371583,22.5464,Gxy,And,14.6,NGC,96
191,,0.375,29.7453,Gxy,And,12.4,NGC,97
192,,0.376667,10.4833,,Psc,,IC,14
193,,0.380361,-45.2694,Gxy,Phe,13.1,NGC,98
194,,0.38052,6.96431,Gxy,Psc,15,IC,1549
195,,0.398472,-32.5364,Gxy,Scl,12.8,NGC,101
196,,0.399889,15.7694,Gxy,Psc,13.2,NGC,99
197,,0.400694,16.4858,Gxy,Psc,13.5,NGC,100
198,47 Tuc,0.401417,-72.0808,GC,Tuc,4,NGC,104
199,47 Tuc,0.401417,-72.0808,GC,Tuc,4,C,106
200,,0.410083,-13.9572,Gxy,Cet,13.5,NGC,102
201,,0.40768,38.1857,Gxy,And,15.03,IC,1550
202,,0.412139,-5.14917,Gxy,Psc,13.7,NGC,106
203,,0.4215,61.3219,OC,Cas,9.800000000000001,NGC,103
204,,0.421361,12.8853,Gxy,Psc,13.1,NGC,105
205,,0.428361,-8.28417,Gxy,Cet,15.2,NGC,107
206,,0.43325,29.2119,Gxy,And,12.2,NGC,108
207,,0.437361,21.8072,Gxy,And,14,NGC,109
208,,0.444,-2.625,NF,Cet,,NGC,111
209,,0.446806,31.7039,Gxy,And,13.8,NGC,112
210,,0.446306,-33.6767,Gxy,Scl,13.1,NGC,115
211,,0.446417,-71.5367,GC,Tuc,10.6,NGC,121
212,,0.4485,-2.50083,Gxy,Cet,13.1,NGC,113
213,,0.449639,-1.78472,Gxy,Cet,13.8,NGC,114
214,,0.449194,-56.9783,Gxy,Phe,13.2,NGC,119
215,,0.451444,-7.66917,Gxy,Cet,14,NGC,116
216,,0.453,1.33389,Gxy,Cet,14.4,NGC,117
217,,0.4545,-1.77889,Gxy,Cet,14.4,NGC,118
218,,0.456944,71.3917,OC,Cas,,NGC,110
219,,0.458361,-1.51333,Gxy,Cet,13.5,NGC,120
220,,0.45986,8.877560000000001,Gxy,Psc,14.8,IC,1551
221,,0.460639,-1.64028,*,Cet,,NGC,122
222,,0.461111,-1.6275,*,Cet,,NGC,123
223,,0.464528,-1.81056,Gxy,Cet,13.2,NGC,124
224,,0.46879,-13.0939,Gxy,Cet,15.48,IC,16
225,,0.466667,-0.0666667,,Cet,,IC,15
226,,0.475,2.65,Gxy,Cet,15,IC,17
227,,0.47769,-13.0102,Gxy,Cet,14.86,IC,20
228,,0.4764,-11.5867,Gxy,Cet,15.39,IC,18
229,,0.47764,-11.6406,Gxy,Cet,15.16,IC,19
230,,0.480639,2.83861,Gxy,Psc,12.9,NGC,125
231,,0.485583,2.81111,Gxy,Psc,14.3,NGC,126
232,,0.48675,2.8725,Gxy,Psc,14.8,NGC,127
233,,0.487528,2.86417,Gxy,Psc,11.8,NGC,128
234,,0.48623,-0.16376,Gxy,Cet,15.84,IC,21
235,,0.488472,2.87056,Gxy,Psc,14.4,NGC,130
236,,0.493972,-33.2586,Gxy,Scl,13.1,NGC,131
237,,0.49255,-9.08076,Gxy,Cet,14.86,IC,22
238,,0.49547,21.4769,Gxy,Psc,15.32,IC,1552
239,,0.498361,60.2097,OC,Cas,6.5,NGC,129
240,,0.5029439999999999,2.09306,Gxy,Cet,12.9,NGC,132
241,,0.5059439999999999,-33.2472,Gxy,Scl,10.5,NGC,134
242,,0.51412,-12.72,Gxy,Cet,15,IC,23
243,,0.516444,5.16,Gxy,Psc,13.9,NGC,138
244,,0.518417,5.07889,Gxy,Psc,14.6,NGC,139
245,,0.515944,10.2072,Gxy,Psc,12.9,NGC,137
246,,0.521361,63.3528,OC,Cas,9.4,NGC,133
247,,0.52,30.85,OC,And,,IC,24
248,,0.52002,-0.40732,Gxy,Cet,15.42,IC,25
249,,0.522306,30.7922,Gxy,And,13.4,NGC,140
250,,0.519194,-22.6189,Gxy,Cet,14,NGC,142
251,,0.521528,5.17972,Gxy,Psc,14.4,NGC,141
252,,0.521139,-22.5606,Gxy,Cet,14.6,NGC,143
253,,0.522528,-22.6456,Gxy,Cet,13.9,NGC,144
254,,0.525194,61.5094,OC,Cas,,NGC,136
255,,0.5293330000000001,-5.1525,Gxy,Cet,12.7,NGC,145
256,,0.529417,-13.3378,Gxy,Cet,15.1,NGC,135
257,,0.53,-13.3333,,Cet,,IC,26
258,,0.54448,-25.6075,Gxy,Scl,14.44,IC,1553
259,,0.54875,-73.1164,OC,Tuc,12,NGC,152
260,,0.551083,63.3092,OC,Cas,9.1,NGC,146
261,,0.551667,-13.3667,,Cet,,IC,27
262,,0.551667,-13.45,,Cet,,IC,28
263,,0.55205,-32.2584,Gxy,Scl,13.81,IC,1554
264,,0.553333,48.5086,Gxy,Cas,9.6,NGC,147
265,,0.553333,48.5086,Gxy,Cas,9.6,C,17
266,,0.563972,30.7236,Gxy,And,13.8,NGC,149
267,,0.5674169999999999,-9.705,Gxy,Cet,11.6,NGC,151
268,,0.5674169999999999,-9.705,Gxy,Cet,11.6,NGC,153
269,,0.572028,-12.6556,Gxy,Cet,14,NGC,154
270,,0.5696600000000001,-2.17761,Gxy,Cet,15.8,IC,29
271,,0.570917,-31.7856,Gxy,Scl,12.1,NGC,148
272,,0.571139,-27.8044,Gxy,Scl,11.4,NGC,150
273,,0.57075,-2.08462,Gxy,Cet,15.84,IC,30
274,,0.57351,12.2685,Gxy,Psc,15.66,IC,31
275,,0.576583,-8.34,**,Cet,,NGC,156
276,,0.57675,-55.7894,Gxy,Phe,14,NGC,159
277,,0.57574,-30.0179,Gxy,Scl,14.3,IC,1555
278,,0.577806,-10.7664,Gxy,Cet,13.3,NGC,155
279,,0.579639,-8.39667,Gxy,Cet,10.4,NGC,157
280,,0.584861,-8.345829999999999,**,Cet,,NGC,158
281,,0.5838,-2.14155,Gxy,Cet,15.97,IC,32
282,,0.58477,-2.13772,Gxy,Cet,15.41,IC,33
283,,0.585,-9.56667,?,Cet,,IC,1556
284,,0.5898330000000001,-23.3764,Gxy,Cet,13.8,NGC,167
285,,0.592722,-2.84861,Gxy,Cet,13.4,NGC,161
286,,0.5916670000000001,-2.85,Gxy,Cet,16,IC,1557
287,,0.59345,9.124219999999999,Gxy,Psc,13.68,IC,34
288,,0.5968059999999999,-13.61,Gxy,Cet,14.5,NGC,166
289,,0.599611,-73.1658,OC,Tuc,12.7,NGC,176
290,,0.59629,-25.3741,Gxy,Scl,12.87,IC,1558
291,,0.599917,-10.1219,Gxy,Cet,12.7,NGC,163
292,,0.601139,23.9581,Gxy,And,12.4,NGC,160
293,,0.602556,23.9625,*,And,,NGC,162
294,,0.609167,2.75083,Gxy,Psc,15.8,NGC,164
295,,0.608028,-10.1067,Gxy,Cet,13.1,NGC,165
296,,0.610944,-22.5933,Gxy,Cet,13.9,NGC,168
297,,0.612694,1.88639,Gxy,Cet,14.5,NGC,170
298,,0.614417,23.9897,Gxy,And,12.4,NGC,169
299,,0.616333,-29.4783,Gxy,Scl,13,NGC,174
300,,0.61452,23.9848,Gxy,And,14.71,IC,1559
301,,0.620139,1.94222,Gxy,Cet,13.2,NGC,173
302,,0.6206390000000001,-22.585,Gxy,Cet,14,NGC,172
303,,0.622667,-19.9347,Gxy,Cet,12.2,NGC,171
304,,0.622667,-19.9347,Gxy,Cet,12,NGC,175
305,,0.626472,-22.5483,Gxy,Cet,13.4,NGC,177
306,,0.62774,10.358,Gxy,Psc,15.02,IC,35
307,,0.628333,2.66667,,Cet,,IC,1560
308,,0.629556,-17.8492,Gxy,Cet,13.1,NGC,179
309,,0.63,-15.4333,,Cet,,IC,36
310,,0.632667,8.63472,Gxy,Psc,13.1,NGC,180
311,,0.639889,29.4708,Gxy,And,14.9,NGC,181
312,,0.636778,2.72833,Gxy,Psc,12.7,NGC,182
313,,0.641583,29.5097,Gxy,And,12.5,NGC,183
314,,0.643389,29.4464,Gxy,And,14.6,NGC,184
315,,0.640361,3.16639,Gxy,Psc,13.6,NGC,186
316,,0.64283,-15.3587,Gxy,Cet,15.96,IC,37
317,,0.64236,-24.34,Gxy,Cet,15.06,IC,1561
318,,0.64411,-15.4198,Gxy,Cet,15.02,IC,38
319,,0.643333,-24.2833,Gxy,Cet,,IC,1562
320,,0.648528,7.0625,Gxy,Psc,14,NGC,190
321,,0.649472,48.3408,Gxy,Cas,9.300000000000001,NGC,185
322,,0.649472,48.3408,Gxy,Cas,9.300000000000001,C,18
323,,0.649806,-9.00278,Gxy,Cet,13.4,NGC,191
324,,0.65006,-9.014559999999999,Gxy,Cet,14.67,IC,1563
325,,0.6523330000000001,-14.1725,Gxy,Cet,12.4,NGC,178
326,,0.651,-18.6078,Gxy,Cet,13,NGC,209
327,,0.651667,-14.1667,,Cet,,IC,39
328,,0.65142,6.02108,Gxy,Psc,14.88,IC,1564
329,,0.653778,0.863889,Gxy,Cet,13,NGC,192
330,,0.655139,3.33111,Gxy,Psc,13,NGC,193
331,,0.655083,3.03722,Gxy,Psc,12.6,NGC,194
332,,0.654972,0.9125,Gxy,Cet,13.6,NGC,196
333,,0.65525,0.891389,Gxy,Cet,13.7,NGC,197
334,,0.656389,2.79778,Gxy,Psc,13.4,NGC,198
335,,0.6573099999999999,6.73411,Gxy,Psc,14.53,IC,1565
336,,0.656667,6.8,Gxy,Psc,15,IC,1566
337,,0.65594,2.45625,Gxy,Cet,15.05,IC,40
338,,0.658417,-14.6564,Gxy,Cet,13.2,NGC,187
339,,0.659917,61.0944,OC,Cas,8.800000000000001,NGC,189
340,,0.659944,-9.195,Gxy,Cet,13.7,NGC,195
341,,0.6591939999999999,3.13861,Gxy,Psc,13.7,NGC,199
342,,0.659694,2.88806,Gxy,Psc,13.1,NGC,200
343,,0.66,6.61667,,Psc,,IC,1567
344,,0.6597499999999999,0.859444,Gxy,Cet,13.6,NGC,201
345,,0.6610279999999999,3.53556,Gxy,Psc,14.4,NGC,202
346,,0.660972,3.44278,Gxy,Psc,14.1,NGC,203
347,,0.661667,-14.1667,,Cet,,IC,41
348,,0.66225,3.29944,Gxy,Psc,13.3,NGC,204
349,,0.66555,6.84861,Gxy,Psc,15.48,IC,1568
350,,0.6613059999999999,-14.2378,Gxy,Cet,13.7,NGC,207
351,,0.670194,-56.1522,Gxy,Phe,13.5,NGC,212
352,,0.67275,41.6906,Gxy,And,8.199999999999999,M,110
353,,0.67275,41.6906,Gxy,And,8.199999999999999,NGC,205
354,,0.671528,2.75639,Gxy,Psc,14.5,NGC,208
355,,0.6744599999999999,6.71983,Gxy,Psc,15.7,IC,1569
356,,0.675167,-73.40309999999999,OC,Tuc,12.4,NGC,220
357,,0.675361,40.7394,GxyCld,And,,NGC,206
358,,0.676333,-13.8725,Gxy,Cet,11.1,NGC,210
359,,0.679028,-73.38420000000001,OC,Tuc,12.2,NGC,222
360,,0.676667,6.75,,Psc,,IC,1570
361,,0.67718,-0.33067,Gxy,Cet,14.61,IC,1571
362,,0.680139,-56.2142,Gxy,Phe,13.2,NGC,215
363,,0.660972,3.44278,Gxy,Psc,14.1,NGC,211
364,,0.685111,-73.3522,OC,Tuc,12.7,NGC,231
365,,0.68496,-15.428,Gxy,Cet,15.4,IC,42
366,,0.6861390000000001,16.4689,Gxy,Psc,13.5,NGC,213
367,,0.686667,16.2667,,Psc,,IC,1572
368,,0.690778,-21.0453,Gxy,Cet,12.6,NGC,216
369,,0.691167,25.5,Gxy,And,12.4,NGC,214
370,,0.6927219999999999,-10.0222,Gxy,Cet,12.6,NGC,217
371,,0.695806,36.3572,Gxy,And,14.3,NGC,218
372,,0.703333,0.85,Gxy,Cet,14,IC,44
373,,0.7029,-23.5916,Gxy,Cet,16.59,IC,1573
374,,0.703139,0.9038890000000001,Gxy,Cet,14.4,NGC,219
375,,0.707639,-23.6294,Gxy,Cet,14.9,NGC,230
376,,0.70613,29.6415,Gxy,And,13.95,IC,43
377,,0.710167,-1.52861,Gxy,Cet,12.1,NGC,227
378,,0.711611,40.8644,Gxy,And,8.300000000000001,M,32
379,,0.711611,40.8644,Gxy,And,8.300000000000001,NGC,221
380,,0.704389,0.845556,Gxy,Cet,13.4,NGC,223
381,,0.712306,41.2683,Gxy,And,3.6,M,31
382,,0.712306,41.2683,Gxy,And,3.6,NGC,224
383,,0.712639,-23.5611,Gxy,Cet,13.7,NGC,232
384,,0.70621,29.6985,Gxy,And,15.24,IC,45
385,,0.715028,32.5808,Gxy,And,13.4,NGC,226
386,,0.715139,23.5028,Gxy,And,13.9,NGC,228
387,,0.714556,-23.5411,Gxy,Cet,13.3,NGC,235
388,,0.715,-13.75,?,Cet,,IC,47
389,,0.7179720000000001,23.5089,Gxy,And,14.1,NGC,229
390,,0.71609,27.2535,Gxy,And,14.58,IC,46
391,,0.71768,-22.2476,Gxy,Cet,14.47,IC,1574
392,,0.725639,61.7903,OC,Cas,7,NGC,225
393,,0.726806,30.5875,Gxy,And,12.5,NGC,233
394,,0.725667,14.3431,Gxy,Psc,12.7,NGC,234
395,,0.723861,-50.1847,Gxy,Phe,12.7,NGC,238
