id,name,RA,DEC,const,mag,cname
0,Almaaz,5.0328146,43.823307,Aur,3.03,HR1605
1,Alniyat,16.35314326666666,-25.592792,ScoAa1,2.9,HR6084
2,Alrakis,17.08892046666666,54.470078,DraA,5.55,HR6370
3,Alterf,9.528674333333333,22.96797,Leo,4.32,HR3773
4,Barnard'sStar,17.96360153333333,4.668288,Oph,9.539999999999999,GJ699
5,Cujam,16.4235986,14.033274,Her,4.57,HR6117
6,DenebAlgedi,21.78401226666666,-16.127287,CapAa,2.85,HR8322
7,Diadem,13.1664686,17.529447,ComA,4.85,HR4968
8,Giausar,11.52339466666667,69.331075,Dra,3.82,HR4434
9,Kaffaljidhma,2.721677533333334,3.235816,CetA,3.56,HR804
10,Marsic,16.13459046666667,17.04698,HerA,5,HR6008
11,Tejat,6.382674133333333,22.513583,GemAa,2.87,HR2286
12,Theemin,4.592510666666667,-30.562341,Eri,3.81,HR1464
13,Alpheratz,0.1397944,29.090431,And,2.07,HR15
14,Mirach,1.162200866666667,35.620557,And,2.07,HR337
15,Almach,2.064986933333333,42.329725,And,2.1,HR603
16,Adhil,1.372338666666667,45.528778,And,4.87,HR390
17,Titawin,1.613289466666667,41.405457,And,4.09,HR458
18,Veritate,23.52150373333333,39.236197,And,5.22,HR8930
19,Sadalmelik,22.09639886666667,-0.319849,Aqr,2.95,HR8414
20,Sadalsuud,21.525981,-5.571176,Aqr,2.9,HR8232
21,Sadachbia,22.3609376,-1.387334,Aqr,3.86,HR8518
22,Skat,22.91083706666667,-15.820827,Aqr,3.27,HR8709
23,Albali,20.79459793333333,-9.495775,Aqr,3.78,HR7950
24,Ancha,22.28056566666666,-7.783291,Aqr,4.17,HR8499
25,Situla,22.62927226666667,-4.228056,Aqr,5.04,HR8610
26,Altair,19.84638846666667,8.868321,Aql,0.76,HR7557
27,Alshain,19.92188693333333,6.406763,Aql,3.71,HR7602
28,Tarazed,19.77099433333333,10.613262,Aql,2.72,HR7525
29,Libertas,19.90413386666667,8.461453000000001,Aql,4.71,HR7595
30,Cervantes,17.73575033333333,-51.834051,Ara,5.15,HR6585
31,Hamal,2.119557133333333,23.462418,Ari,2.01,HR617
32,Sheratan,1.910669733333334,20.808031,Ari,2.64,HR553
33,Mesarthim,1.892170666666667,19.293852,Ari,4.75,HR546
34,Botein,3.193823733333333,19.726674,Ari,4.35,HR951
35,Capella,5.2781552,45.997991,Aur,0.08,HR1708
36,Menkalinan,5.992145266666666,44.947433,Aur,1.9,HR2088
37,Arcturus,14.26102,19.182409,Boo,-0.05,HR5340
38,Nekkar,15.032434,40.390567,Boo,3.49,HR5602
39,Seginus,14.53463106666667,38.308251,Boo,3.04,HR5435
40,Izar,14.7497842,27.074207,Boo,2.35,HR5506
41,Muphrid,13.91141073333334,18.397717,Boo,2.68,HR5235
42,Alkalurops,15.40817453333333,37.377169,Boo,4.31,HR5733
43,Merga,14.82185273333333,46.116206,Boo,5.76,HR5533
44,Tonatiuh,12.087533,76.90573500000001,Cam,5.8,HR4609
45,Acubens,8.974782666666666,11.857687,Cnc,4.26,HR3572
46,AsellusBorealis,8.721429466666665,21.468501,Cnc,4.66,HR3449
47,AsellusAustralis,8.744749866666666,18.154309,Cnc,3.94,HR3461
48,Tegmine,8.203544000000001,17.647821,Cnc,4.67,HR3208
49,Copernicus,8.876614133333334,28.33082,Cnc,5.95,HR3522
50,CorCaroli,12.9337962,38.318376,CVn,2.89,HR4915
51,Chara,12.56237353333333,41.357479,CVn,4.24,HR4785
52,Sirius,6.752477,-16.716116,CMa,-1.44,HR2491
53,Mirzam,6.378329266666666,-17.955919,CMa,1.98,HR2294
54,Muliphein,7.062636933333334,-15.633286,CMa,4.11,HR2657
55,Wezen,7.139856666666667,-26.3932,CMa,1.83,HR2693
56,Adhara,6.977096866666667,-28.972086,CMa,1.5,HR2618
57,Furud,6.338553333333333,-30.063367,CMa,3.02,HR2282
58,Aludra,7.401584,-29.303106,CMa,2.45,HR2827
59,Procyon,7.655032866666666,5.224993,CMi,0.4,HR2943
60,Gomeisa,7.452511599999999,8.289315999999999,CMi,2.89,HR2845
61,Algedi,20.3009044,-12.544852,Cap,3.58,HR7754
62,Dabih,20.35018686666666,-14.781405,Cap,3.05,HR7776
63,Nashira,21.66818233333333,-16.662308,Cap,3.69,HR8278
64,Canopus,6.3991972,-52.695661,Car,-0.62,HR2326
65,Miaplacidus,9.219993733333332,-69.717208,Car,1.67,HR3685
66,Avior,8.375232,-59.509484,Car,1.86,HR3307
67,Aspidiske,9.284835266666667,-59.275232,Car,2.21,HR3699
68,Schedar,0.6751225333333333,56.537331,Cas,2.24,HR168
69,Caph,0.1529681333333333,59.149781,Cas,2.28,HR21
70,Ruchbah,1.430264266666667,60.235284,Cas,2.66,HR403
71,RigilKentaurus,14.66013773333333,-60.833975,CenA,-0.01,HR5459
72,ProximaCentauri,14.49526353333333,-62.679484,CenC,11.01,GJ551
73,Hadar,14.06372373333333,-60.373035,Cen,0.61,HR5267
74,Menkent,14.11137446666666,-36.369958,Cen,2.06,HR5288
75,Alderamin,21.309659,62.585574,Cep,2.45,HR8162
76,Alfirk,21.4776658,70.560715,Cep,3.23,HR8238
77,Errai,23.655777,77.632313,Cep,3.21,HR8974
78,Kurhah,22.0631816,64.627971,Cep,4.26,HR8417
79,Menkar,3.037992333333333,4.089737,Cet,2.54,HR911
80,Diphda,0.7264919333333334,-17.986606,Cet,2.04,HR188
81,BatenKaitos,1.8576758,-10.335044,Cet,3.74,HR539
82,Mira,2.322441133333333,-2.97764,Cet,6.47,HR681
83,Phact,5.660816933333334,-34.07411,Col,2.65,HR1956
84,Wazn,5.8493312,-35.76831,Col,3.12,HR2040
85,Alphecca,15.57813,26.714693,CrB,2.22,HR5793
86,Nusakan,15.46381406666667,29.105699,CrB,3.66,HR5747
87,Alchiba,12.1402268,-24.728875,Crv,4.02,HR4623
88,Gienah,12.2634362,-17.541929,Crv,2.58,HR4662
89,Algorab,12.49773753333333,-16.515431,Crv,2.94,HR4757
90,Alkes,10.99624026666667,-18.298783,Crt,4.08,HR4287
91,Acrux,12.4433042,-63.099093,CruAa,1.33,HR4730
92,Mimosa,12.79535086666667,-59.688764,Cru,1.25,HR4853
93,Gacrux,12.5194332,-57.113213,Cru,1.59,HR4763
94,Deneb,20.690532,45.280339,Cyg,1.25,HR7924
95,Albireo,19.5120234,27.959692,Cyg,3.05,HR7417
96,Sadr,20.37047273333334,40.256679,Cyg,2.23,HR7796
97,Azelfafage,21.70157346666667,51.189623,Cyg,4.69,HR8301
98,Sualocin,20.66063533333334,15.912073,Del,3.77,HR7906
99,Rotanev,20.62581566666666,14.595115,Del,3.64,HR7882
100,Musica,20.97387053333334,10.839286,Del,5.48,HR8030
101,Thuban,14.07315273333333,64.375851,Dra,3.67,HR5291
102,Rastaban,17.5072116,52.301389,Dra,2.79,HR6536
103,Eltanin,17.94343606666667,51.488896,Dra,2.24,HR6705
104,Altais,19.20925,67.661541,Dra,3.07,HR7310
105,Grumium,17.89214713333334,56.872646,Dra,3.73,HR6688
106,Edasich,15.41549306666667,58.966063,Dra,3.29,HR5744
107,Fafnir,18.43309373333333,65.56348,Dra,4.82,HR6945
108,Kitalpha,21.26372993333333,5.247865,Equ,3.92,HR8131
109,Achernar,1.6285682,-57.236753,Eri,0.45,HR472
110,Cursa,5.130829333333334,-5.086446,Eri,2.78,HR1666
111,Zaurak,3.967157333333333,-13.508516,Eri,2.97,HR1231
112,Ran,3.5488458,-9.458259,Eri,3.73,HR1084
113,Zibal,3.263895733333333,-8.819731000000001,Eri,4.8,HR984
